2025-01-27 14:15:48.410 | INFO     | __main__:process_message:95 - Message received from author: Eve
2025-01-27 14:15:48.410 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1}
2025-01-27 14:15:48.410 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Distributed systems are fascinating.', 'author': 'Alice'}
2025-01-27 14:15:48.410 | INFO     | __main__:process_message:95 - Message received from author: Alice
2025-01-27 14:15:48.410 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 1}
2025-01-27 14:15:48.411 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Have a great day!', 'author': 'Charlie'}
2025-01-27 14:15:48.411 | INFO     | __main__:process_message:95 - Message received from author: Charlie
2025-01-27 14:15:48.411 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 1, 'Charlie': 1}
2025-01-27 14:15:48.411 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Data engineering is my passion.', 'author': 'Alice'}
2025-01-27 14:15:48.411 | INFO     | __main__:process_message:95 - Message received from author: Alice
2025-01-27 14:15:48.411 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 2, 'Charlie': 1}
2025-01-27 14:15:48.412 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Distributed systems are fascinating.', 'author': 'Diana'}
2025-01-27 14:15:48.412 | INFO     | __main__:process_message:95 - Message received from author: Diana
2025-01-27 14:15:48.412 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 2, 'Charlie': 1, 'Diana': 1}
2025-01-27 14:15:48.412 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Buzz messages for everyone.', 'author': 'Alice'}
2025-01-27 14:15:48.412 | INFO     | __main__:process_message:95 - Message received from author: Alice
2025-01-27 14:15:48.412 | INFO     | __main__:process_message:101 - Updated author counts: {'Eve': 1, 'Alice': 3, 'Charlie': 1, 'Diana': 1}
2025-01-27 14:15:48.412 | INFO     | __main__:process_message:89 - Processed JSON message: {'message': 'Hello, Kafka world!', 'author': 'Diana'}
2025-01-27 14:15:48.412 | INFO     | __main__:process_message:95 - Message received from author: Diana
